encode=UTF-8
name=T9筆劃
key=uiojkp
len=5
auto_clear=0
normal=normal_big5.txt
user=cj_user.txt
assist=` mb/mb/phonetic_pin.txt
wildcard=l
match=1
commit=1 5 0
[data]
#倉頡輸入法對照表（中日韓統一表意文字、擴展A區、擴展B區）：

p ，
p 。
p 、
p ．
p ；
p ：
p ？
p ！
p …
p —
p ╴
p 【
p 】
p ︻
p ︼
p 《
p 》
p ︽
p ︾
p 「
p 」
p ﹁
p ﹂
p 『
p 』
p ﹃
p ﹄

jjuikioij 漼
uiiuuoiii 荊
ikiuik 幅
ikiuik 凱
ikiuik 豈
ikiuik 嶇
ikiuik 嶄
ikiuik 岐
ikiuik 峘
ikiuik 峬
ikiuik 顗
ikiuik 覬
ikiuik 敳
ikiuik 崠
ikiuik 峿
ikiuik 颽
ikiuik 獃
ikiuik 嶆
ikiuik 岢
ikiuik 剴
oujoujuiuikuuijuij 簙
kkjjjjojuko 絩
ikiikiiu 嶵
ikiikiiu 嶧
kijouokoooj 隊
kijouokoooj 墜
kijouokoooj 隧
kijouokoooj 鐆
uiuuikjjjjjkuok 騸
ojuikukjukj 翕
ojuikukjukj 歙
kiuouiuuoui 隓
ojuuijouuii 錯
ojuuijouuii 鎮
ojuuijouuii 鉺
ojuuijouuii 錨
ojuuijouuii 鉗
ojuuijouuii 鑊
ojuuijouuii 鑷
ojuuijouuii 鏵
ojuuijouuii 鑵
ojuuijouuii 錤
ojuuijouuii 鏌
ojuuijouuii 鏾
ojuuijouuii 鋷
ojuuijouuii 鑮
ojuuijouuii 鑉
ojuuijouuii 錵
ojuuijouuii 鍱
ojuuijouuii 鐷
ojuuijouuii 鈷
ojuuijouuii 鎝
ojuuijouuii 鍣
ojuuijouuii 鍖
ojuuijouuii 鋩
ojuuijouuii 鑩
ojuuijouuii 鑝
ojuuijouuii 鑶
juoouuiiiiuj 廡
ikioijuuuiujjj 嶕
uokjuiiu 殣
uiojkiuouiui 橢
ojjoouuikiokkji 繇
ouukjouioj 氣
uiijjkjkjo 蔤
uoikuikuiuukoj 碨
uiuuiuuiuuok 翹
uiuuiuuiuuok 堯
uiuuiuuiuuok 顤
uiuuiuuiuuok 遶
juojkkjioj 紊
jkijikuiiuu 禮
jjkkiuoju 寣
jjujjkuiooikuuuo 濱
jkuikuuuioi 鶤
uiiuikuuioiok 靴
uoikujuiku 礅
uoikujuiku 碻
uoikujuiku 碠
kououiojkou 婑
joojiukou 爐
koukiuouiuikuu 嫷
ikuuiiikuuoko 噶
uiiuuii 華
uiiuuii 鷨
jjiuojojojoj 慡
jokukioo 鵜
uojuukookj 瓠
uiiikuojoiku 鶧
juuuikuukuk 詎
jkjojikuu 覕
uiuuikjjjjkuuuuikj 騝
ikiiuuikuoko 還
ikiiuuikuoko 翾
ojuoikuuk 郩
uikjoui 柬
ikuuuojikuuuojouui 罌
kuoijuojikiiuokiku 屬
kuoijuojikiiuokiku 斸
uoouiojouioj 歷
uoouiojouioj 曆
uoouiojouioj 厤
uoouiojouioj 磿
jjuokoi 渢
jjuokoi 淊
jjujuuui 灣
jjujuuui 滸
jjujuuui 灤
joi 曾
joi 幣
joi 弊
joi 斃
joi 瞥
joi 敝
joi 丫
joi 憋
joi 蹩
joi 甑
joi 鄨
joi 蟞
joi 獘
joi 鷩
joi 鱉
joi 彆
joi 鄫
joi 嫳
oujoujoiukk 筵
kkjjjjkjkioikoji 繘
jouuuouiu 差
jouuuouiu 羵
jouuuouiu 齹
iijoujouuiuii 叢
ookjujokkjuiiuikuui 鞶
okoikuiujkjjik 颾
iukoukikuuuojoik 鸆
uiojuiiikuuikuuui 欗
ojuuijouikuikuuuk 鍔
uiojukjukj 翉
kouojouiojikuiu 嬏
ikkjkikuujjkuii 髖
kiuujkijjjju 孺
ikuukjukjujk 遢
oujoujujkijjjjoij 籗
ikiuokjii 峛
juojuoikuou 瘊
kkjjjjukjui 緻
kkjjjjukjui 絰
kiojuikui 險
kiojuikui 陯
kouujkijjjjui 孀
uikokuujukjoikik 醯
juikujkok 亮
uijkkiuoikuuukjj 鵓
joikiojouojoik 鷩
